Voluntario: Prueba 9
Fecha y Hora: 2024-10-03_13-51-19
Lugar de Medicion: Epicóndilo lateral

MEDIDA 1:  1.88 Kgf/cm2   184.02 kPa  
MEDIDA 2:  3.77 Kgf/cm2   369.82 kPa  
MEDIDA 3:  4.94 Kgf/cm2   484.83 kPa  
MEDIDA 4:  5.18 Kgf/cm2   507.84 kPa  
MEDIDA 5:  5.43 Kgf/cm2   532.61 kPa  
MEDIDA 6:  5.67 Kgf/cm2   555.61 kPa  
MEDIDA 7:  5.9 Kgf/cm2   578.62 kPa  
MEDIDA 8:  6.13 Kgf/cm2   601.62 kPa  
MEDIDA 9:  6.37 Kgf/cm2   624.62 kPa  
MEDIDA 10:  6.6 Kgf/cm2   647.63 kPa  
MEDIDA 11:  6.84 Kgf/cm2   670.63 kPa  
MEDIDA 12:  7.31 Kgf/cm2   716.64 kPa  
MEDIDA 13:  8.03 Kgf/cm2   787.41 kPa  
MEDIDA 14:  8.73 Kgf/cm2   856.42 kPa  
MEDIDA 15:  11.8 Kgf/cm2   1157.23 kPa  
MEDIDA 16:  13.23 Kgf/cm2   1297.02 kPa  
MEDIDA 17:  15.1 Kgf/cm2   1481.05 kPa  
MEDIDA 18:  16.53 Kgf/cm2   1620.83 kPa  
MEDIDA 19:  17.0 Kgf/cm2   1666.84 kPa  
MEDIDA 20:  15.1 Kgf/cm2   1481.05 kPa  
MEDIDA 21:  13.7 Kgf/cm2   1343.03 kPa  
MEDIDA 22:  12.04 Kgf/cm2   1180.24 kPa  
MEDIDA 23:  12.04 Kgf/cm2   1180.24 kPa  
MEDIDA 24:  12.04 Kgf/cm2   1180.24 kPa  
MEDIDA 25:  12.04 Kgf/cm2   1180.24 kPa  
MEDIDA 26:  12.04 Kgf/cm2   1180.24 kPa  
MEDIDA 27:  12.04 Kgf/cm2   1180.24 kPa  
MEDIDA 28:  12.04 Kgf/cm2   1180.24 kPa  
MEDIDA 29:  12.04 Kgf/cm2   1180.24 kPa  
MEDIDA 30:  12.04 Kgf/cm2   1180.24 kPa  
MEDIDA 31:  12.04 Kgf/cm2   1180.24 kPa  
MEDIDA 32:  12.04 Kgf/cm2   1180.24 kPa  
MEDIDA 33:  12.04 Kgf/cm2   1180.24 kPa  
MEDIDA 34:  12.04 Kgf/cm2   1180.24 kPa  
MEDIDA 35:  12.04 Kgf/cm2   1180.24 kPa  
MEDIDA 36:  12.04 Kgf/cm2   1180.24 kPa  
MEDIDA 37:  12.04 Kgf/cm2   1180.24 kPa  
MEDIDA 38:  12.04 Kgf/cm2   1180.24 kPa  
MEDIDA 39:  12.04 Kgf/cm2   1180.24 kPa  
MEDIDA 40:  12.04 Kgf/cm2   1180.24 kPa  
