Voluntario: prueba 10
Fecha y Hora: 2024-10-03_13-53-51
Lugar de Medicion: Occipucio

MEDIDA 1:  0.94 Kgf/cm2   92.01 kPa  
MEDIDA 2:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 3:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 4:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 5:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 6:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 7:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 8:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 9:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 10:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 11:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 12:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 13:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 14:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 15:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 16:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 17:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 18:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 19:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 20:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 21:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 22:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 23:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 24:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 25:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 26:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 27:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 28:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 29:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 30:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 31:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 32:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 33:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 34:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 35:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 36:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 37:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 38:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 39:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 40:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 41:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 42:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 43:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 44:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 45:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 46:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 47:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 48:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 49:  2.35 Kgf/cm2   230.03 kPa  
