Voluntario: prueba 8
Fecha y Hora: 2024-10-03_13-56-00
Lugar de Medicion: Segunda costilla

MEDIDA 1:  0.94 Kgf/cm2   92.01 kPa  
MEDIDA 2:  2.35 Kgf/cm2   230.03 kPa  
MEDIDA 3:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 4:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 5:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 6:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 7:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 8:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 9:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 10:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 11:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 12:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 13:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 14:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 15:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 16:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 17:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 18:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 19:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 20:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 21:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 22:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 23:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 24:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 25:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 26:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 27:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 28:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 29:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 30:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 31:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 32:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 33:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 34:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 35:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 36:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 37:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 38:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 39:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 40:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 41:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 42:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 43:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 44:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 45:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 46:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 47:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 48:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 49:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 50:  4.24 Kgf/cm2   415.83 kPa  
MEDIDA 51:  4.24 Kgf/cm2   415.83 kPa  
